"gene","GO"
"PTGIS","5. negative regulation of cellular process"
"PTGS1","5. negative regulation of cellular process"
"PTGS2","5. negative regulation of cellular process"
"PTGS2OS","5. negative regulation of cellular process"
"PTH","5. negative regulation of cellular process"
"PTH1R","5. negative regulation of cellular process"
"PTHLH","5. negative regulation of cellular process"
"PTK2","5. negative regulation of cellular process"
"PTK2B","5. negative regulation of cellular process"
"PTK6","5. negative regulation of cellular process"
"PTN","5. negative regulation of cellular process"
"PTPA","5. negative regulation of cellular process"
"PTPMT1","5. negative regulation of cellular process"
"PTPN1","5. negative regulation of cellular process"
"PTPN2","5. negative regulation of cellular process"
"PTPN3","5. negative regulation of cellular process"
"PTPN5","5. negative regulation of cellular process"
"PTPN6","5. negative regulation of cellular process"
"PTPN9","5. negative regulation of cellular process"
"PTPN11","5. negative regulation of cellular process"
"PTPN13","5. negative regulation of cellular process"
"PTPN14","5. negative regulation of cellular process"
"PTPN22","5. negative regulation of cellular process"
"PTPN23","5. negative regulation of cellular process"
"PTPRC","5. negative regulation of cellular process"
"PTPRD","5. negative regulation of cellular process"
"PTPRE","5. negative regulation of cellular process"
"PTPRF","5. negative regulation of cellular process"
"PTPRG","5. negative regulation of cellular process"
"PTPRJ","5. negative regulation of cellular process"
"PTPRK","5. negative regulation of cellular process"
"PTPRM","5. negative regulation of cellular process"
"PTPRO","5. negative regulation of cellular process"
"PTPRR","5. negative regulation of cellular process"
"PTPRS","5. negative regulation of cellular process"
"PTPRT","5. negative regulation of cellular process"
"PTPRU","5. negative regulation of cellular process"
"PTPRV","5. negative regulation of cellular process"
"PTPRZ1","5. negative regulation of cellular process"
"PTRH2","5. negative regulation of cellular process"
"PTTG1","5. negative regulation of cellular process"
"PTTG1IP","5. negative regulation of cellular process"
"PTX3","5. negative regulation of cellular process"
"PUM1","5. negative regulation of cellular process"
"PURA","5. negative regulation of cellular process"
"PURB","5. negative regulation of cellular process"
"PUS7","5. negative regulation of cellular process"
"PVRIG","5. negative regulation of cellular process"
"PWP1","5. negative regulation of cellular process"
"PYCARD","5. negative regulation of cellular process"
"PYCR1","5. negative regulation of cellular process"
"PZP","5. negative regulation of cellular process"
"QARS","5. negative regulation of cellular process"
"QK","5. negative regulation of cellular process"
"RBM10","5. negative regulation of cellular process"
"RBM14","5. negative regulation of cellular process"
"RBM15","5. negative regulation of cellular process"
"RBM24","5. negative regulation of cellular process"
"RBM38","5. negative regulation of cellular process"
"RC3H1","5. negative regulation of cellular process"
"RC3H2","5. negative regulation of cellular process"
"RCAN1","5. negative regulation of cellular process"
"RCC2","5. negative regulation of cellular process"
"RCOR1","5. negative regulation of cellular process"
"RCOR2","5. negative regulation of cellular process"
"RD3","5. negative regulation of cellular process"
"RDX","5. negative regulation of cellular process"
"RECK","5. negative regulation of cellular process"
"RECQL4","5. negative regulation of cellular process"
"RECQL5","5. negative regulation of cellular process"
"REG1","5. negative regulation of cellular process"
"REG3A","5. negative regulation of cellular process"
"REG3B","5. negative regulation of cellular process"
"REG3G","5. negative regulation of cellular process"
"REL","5. negative regulation of cellular process"
"RELA","5. negative regulation of cellular process"
"RELB","5. negative regulation of cellular process"
"RENBP","5. negative regulation of cellular process"
"RERG","5. negative regulation of cellular process"
"RESF1","5. negative regulation of cellular process"
"REST","5. negative regulation of cellular process"
"RETREG1","5. negative regulation of cellular process"
"RFC1","5. negative regulation of cellular process"
"RFFL","5. negative regulation of cellular process"
"RFLNA","5. negative regulation of cellular process"
"RFLNB","5. negative regulation of cellular process"
"RFNG","5. negative regulation of cellular process"
"RFWD3","5. negative regulation of cellular process"
"RFX3","5. negative regulation of cellular process"
"RFX4","5. negative regulation of cellular process"
"RFX5","5. negative regulation of cellular process"
"RFX8","5. negative regulation of cellular process"
"RGCC","5. negative regulation of cellular process"
"RGL2","5. negative regulation of cellular process"
"RGMA","5. negative regulation of cellular process"
"RGN","5. negative regulation of cellular process"
"RGP1","5. negative regulation of cellular process"
"RGS1","5. negative regulation of cellular process"
"RGS2","5. negative regulation of cellular process"
"RGS3","5. negative regulation of cellular process"
"RGS4","5. negative regulation of cellular process"
"RGS5","5. negative regulation of cellular process"
"RGS6","5. negative regulation of cellular process"
"RGS7","5. negative regulation of cellular process"
"RGS7BP","5. negative regulation of cellular process"
"RGS8","5. negative regulation of cellular process"
"RGS9","5. negative regulation of cellular process"
"RGS9BP","5. negative regulation of cellular process"
"RGS10","5. negative regulation of cellular process"
"RGS11","5. negative regulation of cellular process"
"RGS12","5. negative regulation of cellular process"
"RGS13","5. negative regulation of cellular process"
"RGS14","5. negative regulation of cellular process"
"RGS16","5. negative regulation of cellular process"
"RGS17","5. negative regulation of cellular process"
"RGS18","5. negative regulation of cellular process"
"RGS19","5. negative regulation of cellular process"
"RGS20","5. negative regulation of cellular process"
"RGS22","5. negative regulation of cellular process"
"RHBDD1","5. negative regulation of cellular process"
"RHBDD3","5. negative regulation of cellular process"
"RHBDF1","5. negative regulation of cellular process"
"RHBDF2","5. negative regulation of cellular process"
"RHNO1","5. negative regulation of cellular process"
"RHOA","5. negative regulation of cellular process"
"RHOB","5. negative regulation of cellular process"
"RHOH","5. negative regulation of cellular process"
"RHOX2A","5. negative regulation of cellular process"
"RHOX3A","5. negative regulation of cellular process"
"RHOX5","5. negative regulation of cellular process"
"RIAN","5. negative regulation of cellular process"
"RIC1","5. negative regulation of cellular process"
"RIDA","5. negative regulation of cellular process"
"RIF1","5. negative regulation of cellular process"
"RIMBP2","5. negative regulation of cellular process"
"RING1","5. negative regulation of cellular process"
"RINT1","5. negative regulation of cellular process"
"RIOK3","5. negative regulation of cellular process"
"RIOX1","5. negative regulation of cellular process"
"RIPK1","5. negative regulation of cellular process"
"RIPOR1","5. negative regulation of cellular process"
"RIPOR2","5. negative regulation of cellular process"
"RIPPLY1","5. negative regulation of cellular process"
"RIPPLY2","5. negative regulation of cellular process"
"RIPPLY3","5. negative regulation of cellular process"
"RIT2","5. negative regulation of cellular process"
"RITA1","5. negative regulation of cellular process"
"RLIM","5. negative regulation of cellular process"
"RLN1","5. negative regulation of cellular process"
"RMI2","5. negative regulation of cellular process"
"RNASEH2B","5. negative regulation of cellular process"
"RND1","5. negative regulation of cellular process"
"RNF2","5. negative regulation of cellular process"
"RNF4","5. negative regulation of cellular process"
"RNF5","5. negative regulation of cellular process"
"RNF6","5. negative regulation of cellular process"
"RNF7","5. negative regulation of cellular process"
"RNF8","5. negative regulation of cellular process"
"RNF10","5. negative regulation of cellular process"
"RNF20","5. negative regulation of cellular process"
"RNF31","5. negative regulation of cellular process"
"RNF34","5. negative regulation of cellular process"
"RNF40","5. negative regulation of cellular process"
"RNF41","5. negative regulation of cellular process"
"RNF43","5. negative regulation of cellular process"
"RNF112","5. negative regulation of cellular process"
"RNF113A2","5. negative regulation of cellular process"
"RNF115","5. negative regulation of cellular process"
"RNF126","5. negative regulation of cellular process"
"RNF128","5. negative regulation of cellular process"
"RNF139","5. negative regulation of cellular process"
"RNF144B","5. negative regulation of cellular process"
"RNF146","5. negative regulation of cellular process"
"RNF149","5. negative regulation of cellular process"
"RNF152","5. negative regulation of cellular process"
"RNF157","5. negative regulation of cellular process"
